蛍	名詞,一般,*,*,*,*,蛍,ホタル,ホタル
Getty	名詞,固有名詞,組織,*,*,*,*
Images	名詞,一般,*,*,*,*,*
）	記号,括弧閉,*,*,*,*,）,）,）
速報	名詞,サ変接続,*,*,*,*,速報,ソクホウ,ソクホー
⇒	名詞,サ変接続,*,*,*,*,*
https	名詞,一般,*,*,*,*,*
://	名詞,サ変接続,*,*,*,*,*
t	名詞,一般,*,*,*,*,*
.	名詞,サ変接続,*,*,*,*,*
co	名詞,一般,*,*,*,*,*
/	名詞,サ変接続,*,*,*,*,*
A	名詞,一般,*,*,*,*,*
1	名詞,数,*,*,*,*,*
Ab	名詞,一般,*,*,*,*,*
8	名詞,数,*,*,*,*,*
dbLen	名詞,一般,*,*,*,*,*
#	名詞,サ変接続,*,*,*,*,*
daihyo	名詞,一般,*,*,*,*,*
#	名詞,サ変接続,*,*,*,*,*
サッカー	名詞,一般,*,*,*,*,サッカー,サッカー,サッカー
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン
代表	名詞,サ変接続,*,*,*,*,代表,ダイヒョウ,ダイヒョー
#	名詞,サ変接続,*,*,*,*,*
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン
代表	名詞,サ変接続,*,*,*,*,代表,ダイヒョウ,ダイヒョー
…	記号,一般,*,*,*,*,…,…,…
RT	名詞,固有名詞,組織,*,*,*,*
@	名詞,サ変接続,*,*,*,*,*
nikkan	名詞,一般,*,*,*,*,*
_	名詞,サ変接続,*,*,*,*,*
soccer	名詞,一般,*,*,*,*,*
:	名詞,サ変接続,*,*,*,*,*
【	記号,括弧開,*,*,*,*,【,【,【
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン
０	名詞,数,*,*,*,*,０,ゼロ,ゼロ
－	名詞,サ変接続,*,*,*,*,*
１	名詞,数,*,*,*,*,１,イチ,イチ
パラグアイ	名詞,固有名詞,地域,国,*,*,パラグアイ,パラグアイ,パラグアイ
】	記号,括弧閉,*,*,*,*,】,】,】
前半	名詞,一般,*,*,*,*,前半,ゼンハン,ゼンハン
３	名詞,数,*,*,*,*,３,サン,サン
２	名詞,数,*,*,*,*,２,ニ,ニ
分	名詞,接尾,助数詞,*,*,*,分,フン,フン
　	記号,空白,*,*,*,*,　,　,　
パラグアイ	名詞,固有名詞,地域,国,*,*,パラグアイ,パラグアイ,パラグアイ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
先制	名詞,サ変接続,*,*,*,*,先制,センセイ,センセイ
。	記号,句点,*,*,*,*,。,。,。
右	名詞,一般,*,*,*,*,右,ミギ,ミギ
ロング	名詞,一般,*,*,*,*,ロング,ロング,ロング
スロー	名詞,一般,*,*,*,*,スロー,スロー,スロー
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
ボール	名詞,一般,*,*,*,*,ボール,ボール,ボール
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
つなぎ	動詞,自立,*,*,五段・ガ行,連用形,つなぐ,ツナギ,ツナギ
、	記号,読点,*,*,*,*,、,、,、
オスカル・ロメロ	名詞,一般,*,*,*,*,*
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
ボール	名詞,一般,*,*,*,*,ボール,ボール,ボール
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
コントロール	名詞,サ変接続,*,*,*,*,コントロール,コントロール,コントロール
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
左足	名詞,一般,*,*,*,*,左足,ヒダリアシ,ヒダリアシ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
ゴール	名詞,一般,*,*,*,*,ゴール,ゴール,ゴール
右	名詞,一般,*,*,*,*,右,ミギ,ミギ
へ	助詞,格助詞,一般,*,*,*,へ,ヘ,エ
決め	動詞,自立,*,*,一段,連用形,決める,キメ,キメ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
▼	記号,一般,*,*,*,*,▼,▼,▼
▼	記号,一般,*,*,*,*,▼,▼,▼
試合	名詞,サ変接続,*,*,*,*,試合,シアイ,シアイ
速報	名詞,サ変接続,*,*,*,*,速報,ソクホウ,ソクホー
▼	記号,一般,*,*,*,*,▼,▼,▼
▼	記号,一般,*,*,*,*,▼,▼,▼
https	名詞,固有名詞,組織,*,*,*,*
://	名詞,サ変接続,*,*,*,*,*
t	名詞,一般,*,*,*,*,*
.	名詞,サ変接続,*,*,*,*,*
co	名詞,一般,*,*,*,*,*
/	名詞,サ変接続,*,*,*,*,*
ck	名詞,一般,*,*,*,*,*
0	名詞,数,*,*,*,*,*
YPUlpgE	名詞,一般,*,*,*,*,*
#	名詞,サ変接続,*,*,*,*,*
daihyo	名詞,一般,*,*,*,*,*
…	記号,一般,*,*,*,*,…,…,…
成功	名詞,サ変接続,*,*,*,*,成功,セイコウ,セイコー
！！(	名詞,サ変接続,*,*,*,*,*
写真	名詞,一般,*,*,*,*,写真,シャシン,シャシン
：	記号,一般,*,*,*,*,：,：,：
ゲッティ	名詞,一般,*,*,*,*,*
）#	名詞,サ変接続,*,*,*,*,*
daihyo	名詞,一般,*,*,*,*,*
https	名詞,一般,*,*,*,*,*
://	名詞,サ変接続,*,*,*,*,*
t	名詞,一般,*,*,*,*,*
.	名詞,サ変接続,*,*,*,*,*
co	名詞,一般,*,*,*,*,*
/	名詞,サ変接続,*,*,*,*,*
ziKuYoiwHm	名詞,一般,*,*,*,*,*
RT	名詞,一般,*,*,*,*,*
@	名詞,サ変接続,*,*,*,*,*
atlrs	名詞,一般,*,*,*,*,*
_	名詞,サ変接続,*,*,*,*,*
official	名詞,一般,*,*,*,*,*
:	名詞,サ変接続,*,*,*,*,*
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン
代表	名詞,サ変接続,*,*,*,*,代表,ダイヒョウ,ダイヒョー
、	記号,読点,*,*,*,*,、,、,、
逆転	名詞,サ変接続,*,*,*,*,逆転,ギャクテン,ギャクテン
！	記号,一般,*,*,*,*,！,！,！
そして	接続詞,*,*,*,*,*,そして,ソシテ,ソシテ
サコ	名詞,一般,*,*,*,*,*
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
途中	名詞,副詞可能,*,*,*,*,途中,トチュウ,トチュー
出場	名詞,サ変接続,*,*,*,*,出場,シュツジョウ,シュツジョー
！#	名詞,サ変接続,*,*,*,*,*
antlers	名詞,一般,*,*,*,*,*
#	名詞,サ変接続,*,*,*,*,*
kashima	名詞,一般,*,*,*,*,*
植田	名詞,固有名詞,地域,一般,*,*,植田,ウエダ,ウエダ
直通	名詞,サ変接続,*,*,*,*,直通,チョクツウ,チョクツー
、	記号,読点,*,*,*,*,、,、,、
昌子	名詞,固有名詞,人名,姓,*,*,昌子,ショウジ,ショージ
源	名詞,固有名詞,人名,名,*,*,源,ハジメ,ハジメ
、	記号,読点,*,*,*,*,、,、,、
柴崎	名詞,固有名詞,人名,姓,*,*,柴崎,シバザキ,シバザキ
岳	名詞,固有名詞,人名,名,*,*,岳,タケシ,タケシ
、	記号,読点,*,*,*,*,、,、,、
そして	接続詞,*,*,*,*,*,そして,ソシテ,ソシテ
大迫	名詞,固有名詞,人名,姓,*,*,大迫,オオサコ,オーサコ
勇	名詞,固有名詞,人名,名,*,*,勇,イサム,イサム
也	名詞,一般,*,*,*,*,*
！	記号,一般,*,*,*,*,！,！,！
4	名詞,数,*,*,*,*,*
人	名詞,接尾,助数詞,*,*,*,人,ニン,ニン
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
揃っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,揃う,ソロッ,ソロッ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
ピッチ	名詞,一般,*,*,*,*,ピッチ,ピッチ,ピッチ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
！#	名詞,サ変接続,*,*,*,*,*
daihyo	名詞,一般,*,*,*,*,*
#	名詞,サ変接続,*,*,*,*,*
SAMURAIBLUE	名詞,一般,*,*,*,*,*
#	名詞,サ変接続,*,*,*,*,*
サッカー	名詞,一般,*,*,*,*,サッカー,サッカー,サッカー
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン
代表	名詞,サ変接続,*,*,*,*,代表,ダイヒョウ,ダイヒョー
アントラーズ	名詞,固有名詞,一般,*,*,*,アントラーズ,アントラーズ,アントラーズ
モバイル	名詞,一般,*,*,*,*,モバイル,モバイル,モバイル
：	記号,一般,*,*,*,*,：,：,：
https	名詞,固有名詞,組織,*,*,*,*
…	記号,一般,*,*,*,*,…,…,…
岡崎	名詞,固有名詞,人名,姓,*,*,岡崎,オカザキ,オカザキ
(´	名詞,サ変接続,*,*,*,*,*
・	記号,一般,*,*,*,*,・,・,・
ω	記号,アルファベット,*,*,*,*,ω,オメガ,オメガ
・	記号,一般,*,*,*,*,・,・,・
｀)	名詞,サ変接続,*,*,*,*,*
#	名詞,サ変接続,*,*,*,*,*
daihyo	名詞,一般,*,*,*,*,*
RT	名詞,一般,*,*,*,*,*
@	名詞,サ変接続,*,*,*,*,*
GoalJP	名詞,一般,*,*,*,*,*
_	名詞,サ変接続,*,*,*,*,*
Official	名詞,一般,*,*,*,*,*
:	名詞,サ変接続,*,*,*,*,*
＼#	名詞,サ変接続,*,*,*,*,*
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン
代表	名詞,サ変接続,*,*,*,*,代表,ダイヒョウ,ダイヒョー
×	記号,一般,*,*,*,*,×,カケル,カケル
#	名詞,サ変接続,*,*,*,*,*
パラグアイ	名詞,固有名詞,地域,国,*,*,パラグアイ,パラグアイ,パラグアイ
代表	名詞,サ変接続,*,*,*,*,代表,ダイヒョウ,ダイヒョー
速報	名詞,サ変接続,*,*,*,*,速報,ソクホウ,ソクホー
中	名詞,接尾,副詞可能,*,*,*,中,チュウ,チュー
📣	記号,一般,*,*,*,*,*
／#	名詞,サ変接続,*,*,*,*,*
乾	名詞,固有名詞,人名,姓,*,*,乾,イヌイ,イヌイ
貴士	名詞,固有名詞,人名,名,*,*,貴士,タカシ,タカシ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
"	名詞,サ変接続,*,*,*,*,*
らしい	助動詞,*,*,*,形容詞・イ段,基本形,らしい,ラシイ,ラシイ
"	名詞,サ変接続,*,*,*,*,*
ゴール	名詞,一般,*,*,*,*,ゴール,ゴール,ゴール
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
もう一度	副詞,一般,*,*,*,*,もう一度,モウイチド,モーイチド
⚽#	名詞,サ変接続,*,*,*,*,*
香川	名詞,固有名詞,人名,姓,*,*,香川,カガワ,カガワ
真司	名詞,固有名詞,人名,名,*,*,真司,シンジ,シンジ
と	助詞,格助詞,一般,*,*,*,と,ト,ト
の	助詞,連体化,*,*,*,*,の,ノ,ノ
鮮やか	名詞,形容動詞語幹,*,*,*,*,鮮やか,アザヤカ,アザヤカ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
コンビネーション	名詞,一般,*,*,*,*,コンビネーション,コンビネーション,コンビネーション
🇯🇵	記号,一般,*,*,*,*,*
#	名詞,サ変接続,*,*,*,*,*
daihyo	名詞,一般,*,*,*,*,*
#	名詞,サ変接続,*,*,*,*,*
samuraiblue	名詞,一般,*,*,*,*,*
#	名詞,サ変接続,*,*,*,*,*
西野	名詞,固有名詞,人名,姓,*,*,西野,ニシノ,ニシノ
ジャパン	名詞,固有名詞,地域,国,*,*,ジャパン,ジャパン,ジャパン
#	名詞,サ変接続,*,*,*,*,*
ワールドカップ	名詞,固有名詞,一般,*,*,*,ワールドカップ,ワールドカップ,ワールドカップ
https	名詞,一般,*,*,*,*,*
://	名詞,サ変接続,*,*,*,*,*
t	名詞,一般,*,*,*,*,*
.…	名詞,サ変接続,*,*,*,*,*
RT	名詞,一般,*,*,*,*,*
@	名詞,サ変接続,*,*,*,*,*
atlrs	名詞,一般,*,*,*,*,*
_	名詞,サ変接続,*,*,*,*,*
official	名詞,一般,*,*,*,*,*
:	名詞,サ変接続,*,*,*,*,*
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン
代表	名詞,サ変接続,*,*,*,*,代表,ダイヒョウ,ダイヒョー
、	記号,読点,*,*,*,*,、,、,、
逆転	名詞,サ変接続,*,*,*,*,逆転,ギャクテン,ギャクテン
！	記号,一般,*,*,*,*,！,！,！
そして	接続詞,*,*,*,*,*,そして,ソシテ,ソシテ
サコ	名詞,一般,*,*,*,*,*
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
途中	名詞,副詞可能,*,*,*,*,途中,トチュウ,トチュー
出場	名詞,サ変接続,*,*,*,*,出場,シュツジョウ,シュツジョー
！#	名詞,サ変接続,*,*,*,*,*
antlers	名詞,一般,*,*,*,*,*
#	名詞,サ変接続,*,*,*,*,*
kashima	名詞,一般,*,*,*,*,*
植田	名詞,固有名詞,地域,一般,*,*,植田,ウエダ,ウエダ
直通	名詞,サ変接続,*,*,*,*,直通,チョクツウ,チョクツー
、	記号,読点,*,*,*,*,、,、,、
昌子	名詞,固有名詞,人名,姓,*,*,昌子,ショウジ,ショージ
源	名詞,固有名詞,人名,名,*,*,源,ハジメ,ハジメ
、	記号,読点,*,*,*,*,、,、,、
柴崎	名詞,固有名詞,人名,姓,*,*,柴崎,シバザキ,シバザキ
岳	名詞,固有名詞,人名,名,*,*,岳,タケシ,タケシ
、	記号,読点,*,*,*,*,、,、,、
そして	接続詞,*,*,*,*,*,そして,ソシテ,ソシテ
大迫	名詞,固有名詞,人名,姓,*,*,大迫,オオサコ,オーサコ
勇	名詞,固有名詞,人名,名,*,*,勇,イサム,イサム
也	名詞,一般,*,*,*,*,*
！	記号,一般,*,*,*,*,！,！,！
4	名詞,数,*,*,*,*,*
人	名詞,接尾,助数詞,*,*,*,人,ニン,ニン
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
揃っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,揃う,ソロッ,ソロッ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
ピッチ	名詞,一般,*,*,*,*,ピッチ,ピッチ,ピッチ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
！#	名詞,サ変接続,*,*,*,*,*
daihyo	名詞,一般,*,*,*,*,*
#	名詞,サ変接続,*,*,*,*,*
SAMURAIBLUE	名詞,一般,*,*,*,*,*
#	名詞,サ変接続,*,*,*,*,*
サッカー	名詞,一般,*,*,*,*,サッカー,サッカー,サッカー
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン
代表	名詞,サ変接続,*,*,*,*,代表,ダイヒョウ,ダイヒョー
アントラーズ	名詞,固有名詞,一般,*,*,*,アントラーズ,アントラーズ,アントラーズ
モバイル	名詞,一般,*,*,*,*,モバイル,モバイル,モバイル
：	記号,一般,*,*,*,*,：,：,：
https	名詞,固有名詞,組織,*,*,*,*
…	記号,一般,*,*,*,*,…,…,…
岡	名詞,固有名詞,人名,姓,*,*,岡,オカ,オカ
ちゃん	名詞,接尾,人名,*,*,*,ちゃん,チャン,チャン
wwwwww	名詞,一般,*,*,*,*,*
#	名詞,サ変接続,*,*,*,*,*
daihyo	名詞,一般,*,*,*,*,*
パラグアイ	名詞,固有名詞,地域,国,*,*,パラグアイ,パラグアイ,パラグアイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
デキ	名詞,一般,*,*,*,*,*
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
何とも	副詞,一般,*,*,*,*,何とも,ナントモ,ナントモ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
感じ	名詞,一般,*,*,*,*,感じ,カンジ,カンジ
だ	助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド
、	記号,読点,*,*,*,*,、,、,、
それでも	接続詞,*,*,*,*,*,それでも,ソレデモ,ソレデモ
彼ら	名詞,代名詞,一般,*,*,*,彼ら,カレラ,カレラ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
サイド	名詞,一般,*,*,*,*,サイド,サイド,サイド
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ
クロス	名詞,サ変接続,*,*,*,*,クロス,クロス,クロス
という	助詞,格助詞,連語,*,*,*,という,トイウ,トユウ
シーン	名詞,一般,*,*,*,*,シーン,シーン,シーン
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
なる	動詞,自立,*,*,五段・ラ行,基本形,なる,ナル,ナル
と	助詞,接続助詞,*,*,*,*,と,ト,ト
、	記号,読点,*,*,*,*,、,、,、
まったく	副詞,助詞類接続,*,*,*,*,まったく,マッタク,マッタク
安心	名詞,サ変接続,*,*,*,*,安心,アンシン,アンシン
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
観	動詞,自立,*,*,一段,連用形,観る,ミ,ミ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
い	動詞,非自立,*,*,一段,未然形,いる,イ,イ
られ	動詞,接尾,*,*,一段,未然形,られる,ラレ,ラレ
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
ん	名詞,非自立,一般,*,*,*,ん,ン,ン
だ	助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ
よ	助詞,終助詞,*,*,*,*,よ,ヨ,ヨ
なぁ	助詞,終助詞,*,*,*,*,なぁ,ナァ,ナー
。	記号,句点,*,*,*,*,。,。,。
#	名詞,サ変接続,*,*,*,*,*
daihyo	名詞,一般,*,*,*,*,*
RT	名詞,一般,*,*,*,*,*
@	名詞,サ変接続,*,*,*,*,*
GoalJP	名詞,一般,*,*,*,*,*
_	名詞,サ変接続,*,*,*,*,*
Official	名詞,一般,*,*,*,*,*
:	名詞,サ変接続,*,*,*,*,*
＼#	名詞,サ変接続,*,*,*,*,*
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン
代表	名詞,サ変接続,*,*,*,*,代表,ダイヒョウ,ダイヒョー
×	記号,一般,*,*,*,*,×,カケル,カケル
#	名詞,サ変接続,*,*,*,*,*
パラグアイ	名詞,固有名詞,地域,国,*,*,パラグアイ,パラグアイ,パラグアイ
代表	名詞,サ変接続,*,*,*,*,代表,ダイヒョウ,ダイヒョー
速報	名詞,サ変接続,*,*,*,*,速報,ソクホウ,ソクホー
中	名詞,接尾,副詞可能,*,*,*,中,チュウ,チュー
📣	記号,一般,*,*,*,*,*
／#	名詞,サ変接続,*,*,*,*,*
乾	名詞,固有名詞,人名,姓,*,*,乾,イヌイ,イヌイ
貴士	名詞,固有名詞,人名,名,*,*,貴士,タカシ,タカシ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
"	名詞,サ変接続,*,*,*,*,*
らしい	助動詞,*,*,*,形容詞・イ段,基本形,らしい,ラシイ,ラシイ
"	名詞,サ変接続,*,*,*,*,*
ゴール	名詞,一般,*,*,*,*,ゴール,ゴール,ゴール
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
もう一度	副詞,一般,*,*,*,*,もう一度,モウイチド,モーイチド
⚽#	名詞,サ変接続,*,*,*,*,*
香川	名詞,固有名詞,人名,姓,*,*,香川,カガワ,カガワ
真司	名詞,固有名詞,人名,名,*,*,真司,シンジ,シンジ
と	助詞,格助詞,一般,*,*,*,と,ト,ト
の	助詞,連体化,*,*,*,*,の,ノ,ノ
鮮やか	名詞,形容動詞語幹,*,*,*,*,鮮やか,アザヤカ,アザヤカ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
コンビネーション	名詞,一般,*,*,*,*,コンビネーション,コンビネーション,コンビネーション
🇯🇵	記号,一般,*,*,*,*,*
#	名詞,サ変接続,*,*,*,*,*
daihyo	名詞,一般,*,*,*,*,*
#	名詞,サ変接続,*,*,*,*,*
samuraiblue	名詞,一般,*,*,*,*,*
#	名詞,サ変接続,*,*,*,*,*
西野	名詞,固有名詞,人名,姓,*,*,西野,ニシノ,ニシノ
ジャパン	名詞,固有名詞,地域,国,*,*,ジャパン,ジャパン,ジャパン
#	名詞,サ変接続,*,*,*,*,*
ワールドカップ	名詞,固有名詞,一般,*,*,*,ワールドカップ,ワールドカップ,ワールドカップ
https	名詞,一般,*,*,*,*,*
://	名詞,サ変接続,*,*,*,*,*
t	名詞,一般,*,*,*,*,*
.…	名詞,サ変接続,*,*,*,*,*
嘘	名詞,一般,*,*,*,*,嘘,ウソ,ウソ
でしょ	助動詞,*,*,*,特殊・デス,未然形,です,デショ,デショ
岡崎	名詞,固有名詞,人名,姓,*,*,岡崎,オカザキ,オカザキ
ｗ	記号,アルファベット,*,*,*,*,ｗ,ダブリュー,ダブリュー
#	名詞,サ変接続,*,*,*,*,*
daihyo	名詞,一般,*,*,*,*,*
岡崎	名詞,固有名詞,地域,一般,*,*,岡崎,オカザキ,オカザキ
宇宙	名詞,一般,*,*,*,*,宇宙,ウチュウ,ウチュー
開発	名詞,サ変接続,*,*,*,*,開発,カイハツ,カイハツ
#	名詞,サ変接続,*,*,*,*,*
daihyo	名詞,一般,*,*,*,*,*
岡崎	名詞,固有名詞,地域,一般,*,*,岡崎,オカザキ,オカザキ
選手	名詞,一般,*,*,*,*,選手,センシュ,センシュ
大	接頭詞,名詞接続,*,*,*,*,大,ダイ,ダイ
チャンス	名詞,一般,*,*,*,*,チャンス,チャンス,チャンス
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
ふかす	動詞,自立,*,*,五段・サ行,基本形,ふかす,フカス,フカス
…	記号,一般,*,*,*,*,…,…,…
。	記号,句点,*,*,*,*,。,。,。
#	名詞,サ変接続,*,*,*,*,*
daihyo	名詞,一般,*,*,*,*,*
RT	名詞,一般,*,*,*,*,*
@	名詞,サ変接続,*,*,*,*,*
atlrs	名詞,一般,*,*,*,*,*
_	名詞,サ変接続,*,*,*,*,*
official	名詞,一般,*,*,*,*,*
:	名詞,サ変接続,*,*,*,*,*
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン
代表	名詞,サ変接続,*,*,*,*,代表,ダイヒョウ,ダイヒョー
、	記号,読点,*,*,*,*,、,、,、
逆転	名詞,サ変接続,*,*,*,*,逆転,ギャクテン,ギャクテン
！	記号,一般,*,*,*,*,！,！,！
そして	接続詞,*,*,*,*,*,そして,ソシテ,ソシテ
サコ	名詞,一般,*,*,*,*,*
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
途中	名詞,副詞可能,*,*,*,*,途中,トチュウ,トチュー
出場	名詞,サ変接続,*,*,*,*,出場,シュツジョウ,シュツジョー
！#	名詞,サ変接続,*,*,*,*,*
antlers	名詞,一般,*,*,*,*,*
#	名詞,サ変接続,*,*,*,*,*
kashima	名詞,一般,*,*,*,*,*
植田	名詞,固有名詞,地域,一般,*,*,植田,ウエダ,ウエダ
直通	名詞,サ変接続,*,*,*,*,直通,チョクツウ,チョクツー
、	記号,読点,*,*,*,*,、,、,、
昌子	名詞,固有名詞,人名,姓,*,*,昌子,ショウジ,ショージ
源	名詞,固有名詞,人名,名,*,*,源,ハジメ,ハジメ
、	記号,読点,*,*,*,*,、,、,、
柴崎	名詞,固有名詞,人名,姓,*,*,柴崎,シバザキ,シバザキ
岳	名詞,固有名詞,人名,名,*,*,岳,タケシ,タケシ
、	記号,読点,*,*,*,*,、,、,、
そして	接続詞,*,*,*,*,*,そして,ソシテ,ソシテ
大迫	名詞,固有名詞,人名,姓,*,*,大迫,オオサコ,オーサコ
勇	名詞,固有名詞,人名,名,*,*,勇,イサム,イサム
也	名詞,一般,*,*,*,*,*
！	記号,一般,*,*,*,*,！,！,！
4	名詞,数,*,*,*,*,*
人	名詞,接尾,助数詞,*,*,*,人,ニン,ニン
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
揃っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,揃う,ソロッ,ソロッ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
ピッチ	名詞,一般,*,*,*,*,ピッチ,ピッチ,ピッチ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
！#	名詞,サ変接続,*,*,*,*,*
daihyo	名詞,一般,*,*,*,*,*
#	名詞,サ変接続,*,*,*,*,*
SAMURAIBLUE	名詞,一般,*,*,*,*,*
#	名詞,サ変接続,*,*,*,*,*
サッカー	名詞,一般,*,*,*,*,サッカー,サッカー,サッカー
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン
代表	名詞,サ変接続,*,*,*,*,代表,ダイヒョウ,ダイヒョー
アントラーズ	名詞,固有名詞,一般,*,*,*,アントラーズ,アントラーズ,アントラーズ
モバイル	名詞,一般,*,*,*,*,モバイル,モバイル,モバイル
：	記号,一般,*,*,*,*,：,：,：
https	名詞,固有名詞,組織,*,*,*,*
…	記号,一般,*,*,*,*,…,…,…
＼(^	名詞,サ変接続,*,*,*,*,*
o	名詞,一般,*,*,*,*,*
^)／	名詞,サ変接続,*,*,*,*,*
#	名詞,サ変接続,*,*,*,*,*
soccer	名詞,一般,*,*,*,*,*
#	名詞,サ変接続,*,*,*,*,*
daihyo	名詞,一般,*,*,*,*,*
岡崎	名詞,固有名詞,地域,一般,*,*,岡崎,オカザキ,オカザキ
www	名詞,一般,*,*,*,*,*
#	名詞,サ変接続,*,*,*,*,*
daihyo	名詞,一般,*,*,*,*,*
RT	名詞,一般,*,*,*,*,*
@	名詞,サ変接続,*,*,*,*,*
sn	名詞,一般,*,*,*,*,*
_	名詞,サ変接続,*,*,*,*,*
soccer	名詞,一般,*,*,*,*,*
:	名詞,サ変接続,*,*,*,*,*
【	記号,括弧開,*,*,*,*,【,【,【
親善	名詞,一般,*,*,*,*,親善,シンゼン,シンゼン
試合	名詞,サ変接続,*,*,*,*,試合,シアイ,シアイ
】	記号,括弧閉,*,*,*,*,】,】,】
🇯🇵	記号,一般,*,*,*,*,*
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン
2	名詞,数,*,*,*,*,*
-	名詞,サ変接続,*,*,*,*,*
1	名詞,数,*,*,*,*,*
パラグアイ	名詞,固有名詞,地域,国,*,*,パラグアイ,パラグアイ,パラグアイ
🇵🇾	記号,一般,*,*,*,*,*
後半	名詞,副詞可能,*,*,*,*,後半,コウハン,コーハン
18	名詞,数,*,*,*,*,*
分	名詞,接尾,助数詞,*,*,*,分,フン,フン
、	記号,読点,*,*,*,*,、,、,、
乾	名詞,固有名詞,人名,姓,*,*,乾,イヌイ,イヌイ
貴士	名詞,固有名詞,人名,名,*,*,貴士,タカシ,タカシ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
この	連体詞,*,*,*,*,*,この,コノ,コノ
日	名詞,非自立,副詞可能,*,*,*,日,ヒ,ヒ
2	名詞,数,*,*,*,*,*
ゴール	名詞,一般,*,*,*,*,ゴール,ゴール,ゴール
目	名詞,接尾,一般,*,*,*,目,メ,メ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
、	記号,読点,*,*,*,*,、,、,、
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン
代表	名詞,サ変接続,*,*,*,*,代表,ダイヒョウ,ダイヒョー
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
逆転	名詞,サ変接続,*,*,*,*,逆転,ギャクテン,ギャクテン
！	記号,一般,*,*,*,*,！,！,！
（	記号,括弧開,*,*,*,*,（,（,（
写真	名詞,一般,*,*,*,*,写真,シャシン,シャシン
：	記号,一般,*,*,*,*,：,：,：
Getty	名詞,固有名詞,組織,*,*,*,*
Images	名詞,一般,*,*,*,*,*
