本田	名詞,固有名詞,組織,*,*,*,本田,ホンダ,ホンダ
楽しめ	動詞,自立,*,*,一段,連用形,楽しめる,タノシメ,タノシメ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
。	記号,句点,*,*,*,*,。,。,。
RT	名詞,一般,*,*,*,*,*
@	名詞,サ変接続,*,*,*,*,*
trsgp	名詞,一般,*,*,*,*,*
:	名詞,サ変接続,*,*,*,*,*
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン
代表	名詞,サ変接続,*,*,*,*,代表,ダイヒョウ,ダイヒョー
見	動詞,自立,*,*,一段,未然形,見る,ミ,ミ
ず	助動詞,*,*,*,特殊・ヌ,連用ニ接続,ぬ,ズ,ズ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
これ	名詞,代名詞,一般,*,*,*,これ,コレ,コレ
作っ	動詞,自立,*,*,五段・ラ行,連用タ接続,作る,ツクッ,ツクッ
て	動詞,非自立,*,*,一段,連用形,てる,テ,テ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
誰か	名詞,一般,*,*,*,*,誰か,ダレカ,ダレカ
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ
役に立て	動詞,自立,*,*,五段・タ行,仮定形,役に立つ,ヤクニタテ,ヤクニタテ
ば	助詞,接続助詞,*,*,*,*,ば,バ,バ
嬉しい	形容詞,自立,*,*,形容詞・イ段,基本形,嬉しい,ウレシイ,ウレシイ
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス
。	記号,句点,*,*,*,*,。,。,。
#	名詞,サ変接続,*,*,*,*,*
daihyo	名詞,一般,*,*,*,*,*
#	名詞,サ変接続,*,*,*,*,*
WorldCup	名詞,一般,*,*,*,*,*
https	名詞,一般,*,*,*,*,*
://	名詞,サ変接続,*,*,*,*,*
t	名詞,一般,*,*,*,*,*
.	名詞,サ変接続,*,*,*,*,*
co	名詞,一般,*,*,*,*,*
/	名詞,サ変接続,*,*,*,*,*
OwsZ	名詞,一般,*,*,*,*,*
1	名詞,数,*,*,*,*,*
DEGGT	名詞,一般,*,*,*,*,*
前回	名詞,一般,*,*,*,*,前回,ゼンカイ,ゼンカイ
より	助詞,格助詞,一般,*,*,*,より,ヨリ,ヨリ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
動き	名詞,一般,*,*,*,*,動き,ウゴキ,ウゴキ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル
。	記号,句点,*,*,*,*,。,。,。
#	名詞,サ変接続,*,*,*,*,*
daihyo	名詞,固有名詞,組織,*,*,*,*
俺	名詞,代名詞,一般,*,*,*,俺,オレ,オレ
なら	助動詞,*,*,*,特殊・ダ,仮定形,だ,ナラ,ナラ
無	接頭詞,名詞接続,*,*,*,*,無,ム,ム
回転	名詞,サ変接続,*,*,*,*,回転,カイテン,カイテン
で	助詞,格助詞,一般,*,*,*,で,デ,デ
決め	動詞,自立,*,*,一段,連用形,決める,キメ,キメ
て	動詞,非自立,*,*,一段,連用形,てる,テ,テ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
な	助詞,終助詞,*,*,*,*,な,ナ,ナ
😤	記号,一般,*,*,*,*,*
職業	名詞,一般,*,*,*,*,職業,ショクギョウ,ショクギョー
圭	名詞,固有名詞,人名,名,*,*,圭,ケイ,ケイ
介	名詞,サ変接続,*,*,*,*,介,カイ,カイ
本	接頭詞,名詞接続,*,*,*,*,本,ホン,ホン
田	名詞,一般,*,*,*,*,田,タ,タ
#	名詞,サ変接続,*,*,*,*,*
daihyo	名詞,一般,*,*,*,*,*
#	名詞,サ変接続,*,*,*,*,*
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン
代表	名詞,サ変接続,*,*,*,*,代表,ダイヒョウ,ダイヒョー
#	名詞,サ変接続,*,*,*,*,*
パラグアイ	名詞,固有名詞,地域,国,*,*,パラグアイ,パラグアイ,パラグアイ
戦	名詞,接尾,一般,*,*,*,戦,セン,セン
向こう	名詞,一般,*,*,*,*,向こう,ムコウ,ムコー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
クロス	名詞,サ変接続,*,*,*,*,クロス,クロス,クロス
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
クロス	名詞,サ変接続,*,*,*,*,クロス,クロス,クロス
と	助詞,格助詞,引用,*,*,*,と,ト,ト
違っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,違う,チガッ,チガッ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
、	記号,読点,*,*,*,*,、,、,、
一	名詞,数,*,*,*,*,一,イチ,イチ
本	名詞,接尾,助数詞,*,*,*,本,ホン,ホン
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
怖い	形容詞,自立,*,*,形容詞・アウオ段,基本形,怖い,コワイ,コワイ
なぁ	助詞,終助詞,*,*,*,*,なぁ,ナァ,ナー
。	記号,句点,*,*,*,*,。,。,。
なんで	副詞,一般,*,*,*,*,なんで,ナンデ,ナンデ
こんなに	副詞,助詞類接続,*,*,*,*,こんなに,コンナニ,コンナニ
違う	動詞,自立,*,*,五段・ワ行促音便,基本形,違う,チガウ,チガウ
ん	名詞,非自立,一般,*,*,*,ん,ン,ン
だろ	助動詞,*,*,*,特殊・ダ,未然形,だ,ダロ,ダロ
。	記号,句点,*,*,*,*,。,。,。
#	名詞,サ変接続,*,*,*,*,*
daihyo	名詞,一般,*,*,*,*,*
遠藤	名詞,固有名詞,人名,姓,*,*,遠藤,エンドウ,エンドー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
パス	名詞,サ変接続,*,*,*,*,パス,パス,パス
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
全部	名詞,副詞可能,*,*,*,*,全部,ゼンブ,ゼンブ
弱い	形容詞,自立,*,*,形容詞・アウオ段,基本形,弱い,ヨワイ,ヨワイ
#	名詞,サ変接続,*,*,*,*,*
daihyo	名詞,一般,*,*,*,*,*
川島	名詞,固有名詞,地域,一般,*,*,川島,カワジマ,カワジマ
➡｢	名詞,サ変接続,*,*,*,*,*
真っ裸	名詞,一般,*,*,*,*,真っ裸,マッパダカ,マッパダカ
？	記号,一般,*,*,*,*,？,？,？
似合う	動詞,自立,*,*,五段・ワ行促音便,基本形,似合う,ニアウ,ニアウ
な	助詞,終助詞,*,*,*,*,な,ナ,ナ
！	記号,一般,*,*,*,*,！,！,！
｣	名詞,サ変接続,*,*,*,*,*
高徳	名詞,一般,*,*,*,*,高徳,コウトク,コートク
➡｢	名詞,サ変接続,*,*,*,*,*
リス	名詞,一般,*,*,*,*,リス,リス,リス
園	名詞,接尾,一般,*,*,*,園,エン,エン
？	記号,一般,*,*,*,*,？,？,？
メルヘン	名詞,一般,*,*,*,*,メルヘン,メルヘン,メルヘン
チック	名詞,一般,*,*,*,*,チック,チック,チック
！｣	名詞,サ変接続,*,*,*,*,*
吉田	名詞,固有名詞,組織,*,*,*,吉田,ヨシダ,ヨシダ
➡｢	名詞,サ変接続,*,*,*,*,*
炭酸	名詞,一般,*,*,*,*,炭酸,タンサン,タンサン
水	名詞,接尾,一般,*,*,*,水,スイ,スイ
？	記号,一般,*,*,*,*,？,？,？
モデル	名詞,一般,*,*,*,*,モデル,モデル,モデル
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ
！｣#	名詞,サ変接続,*,*,*,*,*
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン
代表	名詞,サ変接続,*,*,*,*,代表,ダイヒョウ,ダイヒョー
#	名詞,サ変接続,*,*,*,*,*
daihyo	名詞,一般,*,*,*,*,*
https	名詞,一般,*,*,*,*,*
://	名詞,サ変接続,*,*,*,*,*
t	名詞,一般,*,*,*,*,*
.	名詞,サ変接続,*,*,*,*,*
co	名詞,一般,*,*,*,*,*
/	名詞,サ変接続,*,*,*,*,*
uT	名詞,一般,*,*,*,*,*
8	名詞,数,*,*,*,*,*
BRrsZpj	名詞,一般,*,*,*,*,*
東口	名詞,一般,*,*,*,*,東口,ヒガシグチ,ヒガシグチ
ナイ	名詞,一般,*,*,*,*,ナイ,ナイ,ナイ
キー	名詞,一般,*,*,*,*,キー,キー,キー
。	記号,句点,*,*,*,*,。,。,。
あそこ	名詞,代名詞,一般,*,*,*,あそこ,アソコ,アソコ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
突っ込める	動詞,自立,*,*,一段,基本形,突っ込める,ツッコメル,ツッコメル
の	名詞,非自立,一般,*,*,*,の,ノ,ノ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
東口	名詞,一般,*,*,*,*,東口,ヒガシグチ,ヒガシグチ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
良	形容詞,自立,*,*,形容詞・アウオ段,ガル接続,良い,ヨ,ヨ
さ	名詞,接尾,特殊,*,*,*,さ,サ,サ
。	記号,句点,*,*,*,*,。,。,。
#	名詞,サ変接続,*,*,*,*,*
daihyo	名詞,一般,*,*,*,*,*
RT	名詞,一般,*,*,*,*,*
@	名詞,サ変接続,*,*,*,*,*
Y	名詞,一般,*,*,*,*,*
_	名詞,サ変接続,*,*,*,*,*
and	名詞,一般,*,*,*,*,*
_	名詞,サ変接続,*,*,*,*,*
D	名詞,一般,*,*,*,*,*
:	名詞,サ変接続,*,*,*,*,*
パラグアイ	名詞,固有名詞,地域,国,*,*,パラグアイ,パラグアイ,パラグアイ
戦	名詞,接尾,一般,*,*,*,戦,セン,セン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
データ	名詞,一般,*,*,*,*,データ,データ,データ
放送	名詞,サ変接続,*,*,*,*,放送,ホウソウ,ホーソー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
吉田	名詞,固有名詞,人名,姓,*,*,吉田,ヨシダ,ヨシダ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
紹介	名詞,サ変接続,*,*,*,*,紹介,ショウカイ,ショーカイ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
草	名詞,一般,*,*,*,*,草,クサ,クサ
生える	動詞,自立,*,*,一段,基本形,生える,ハエル,ハエル
じゃあ	助詞,副助詞,*,*,*,*,じゃあ,ジャア,ジャー
ねぇ	助詞,終助詞,*,*,*,*,ねぇ,ネェ,ネー
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ
。	記号,句点,*,*,*,*,。,。,。
#	名詞,サ変接続,*,*,*,*,*
daihyo	名詞,一般,*,*,*,*,*
#	名詞,サ変接続,*,*,*,*,*
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン
代表	名詞,サ変接続,*,*,*,*,代表,ダイヒョウ,ダイヒョー
https	名詞,一般,*,*,*,*,*
://	名詞,サ変接続,*,*,*,*,*
t	名詞,一般,*,*,*,*,*
.	名詞,サ変接続,*,*,*,*,*
co	名詞,一般,*,*,*,*,*
/	名詞,サ変接続,*,*,*,*,*
lFOsfs	名詞,一般,*,*,*,*,*
8	名詞,数,*,*,*,*,*
hoF	名詞,一般,*,*,*,*,*
攻め	名詞,接尾,一般,*,*,*,攻め,ゼメ,ゼメ
どころ	名詞,非自立,一般,*,*,*,どころ,ドコロ,ドコロ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
無い	形容詞,自立,*,*,形容詞・アウオ段,基本形,無い,ナイ,ナイ
という	助詞,格助詞,連語,*,*,*,という,トイウ,トユウ
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ
アイデア	名詞,一般,*,*,*,*,アイデア,アイデア,アイデア
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
無い	形容詞,自立,*,*,形容詞・アウオ段,基本形,無い,ナイ,ナイ
状況	名詞,一般,*,*,*,*,状況,ジョウキョウ,ジョーキョー
#	名詞,サ変接続,*,*,*,*,*
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン
代表	名詞,サ変接続,*,*,*,*,代表,ダイヒョウ,ダイヒョー
#	名詞,サ変接続,*,*,*,*,*
daihyo	名詞,一般,*,*,*,*,*
【	記号,括弧開,*,*,*,*,【,【,【
松木	名詞,固有名詞,人名,姓,*,*,松木,マツキ,マツキ
速報	名詞,サ変接続,*,*,*,*,速報,ソクホウ,ソクホー
】	記号,括弧閉,*,*,*,*,】,】,】
いよいよ	副詞,一般,*,*,*,*,いよいよ,イヨイヨ,イヨイヨ
東	名詞,一般,*,*,*,*,東,ヒガシ,ヒガシ
スポ	名詞,一般,*,*,*,*,*
まで	助詞,副助詞,*,*,*,*,まで,マデ,マデ
も	助詞,係助詞,*,*,*,*,も,モ,モ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン
列島	名詞,一般,*,*,*,*,列島,レットウ,レットー
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
漂う	動詞,自立,*,*,五段・ワ行促音便,基本形,漂う,タダヨウ,タダヨウ
深刻	名詞,形容動詞語幹,*,*,*,*,深刻,シンコク,シンコク
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
松木	名詞,固有名詞,人名,姓,*,*,松木,マツキ,マツキ
不足	名詞,サ変接続,*,*,*,*,不足,フソク,フソク
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
宣言	名詞,サ変接続,*,*,*,*,宣言,センゲン,センゲン
～	名詞,サ変接続,*,*,*,*,*
驚異	名詞,一般,*,*,*,*,驚異,キョウイ,キョーイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
勝率	名詞,一般,*,*,*,*,勝率,ショウリツ,ショーリツ
！	記号,一般,*,*,*,*,！,！,！
今	名詞,副詞可能,*,*,*,*,今,イマ,イマ
、	記号,読点,*,*,*,*,、,、,、
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン
代表	名詞,サ変接続,*,*,*,*,代表,ダイヒョウ,ダイヒョー
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
足り	動詞,自立,*,*,一段,未然形,足りる,タリ,タリ
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
の	名詞,非自立,一般,*,*,*,の,ノ,ノ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
松木	名詞,固有名詞,人名,姓,*,*,松木,マツキ,マツキ
安太郎	名詞,固有名詞,人名,名,*,*,安太郎,ヤスタロウ,ヤスタロー
氏	名詞,接尾,人名,*,*,*,氏,シ,シ
～	名詞,サ変接続,*,*,*,*,*
https	名詞,一般,*,*,*,*,*
://	名詞,サ変接続,*,*,*,*,*
t	名詞,一般,*,*,*,*,*
.	名詞,サ変接続,*,*,*,*,*
co	名詞,一般,*,*,*,*,*
/	名詞,サ変接続,*,*,*,*,*
Fr	名詞,一般,*,*,*,*,*
3	名詞,数,*,*,*,*,*
aJbeCZr	名詞,一般,*,*,*,*,*
#	名詞,サ変接続,*,*,*,*,*
daihyo	名詞,一般,*,*,*,*,*
#	名詞,サ変接続,*,*,*,*,*
ワールドカップ	名詞,固有名詞,一般,*,*,*,ワールドカップ,ワールドカップ,ワールドカップ
#	名詞,サ変接続,*,*,*,*,*
tvasahi	名詞,一般,*,*,*,*,*
#	名詞,サ変接続,*,*,*,*,*
matsuki	名詞,一般,*,*,*,*,*
#	名詞,サ変接続,*,*,*,*,*
MTK	名詞,一般,*,*,*,*,*
48	名詞,数,*,*,*,*,*
RT	名詞,一般,*,*,*,*,*
@	名詞,サ変接続,*,*,*,*,*
Y	名詞,一般,*,*,*,*,*
_	名詞,サ変接続,*,*,*,*,*
and	名詞,一般,*,*,*,*,*
_	名詞,サ変接続,*,*,*,*,*
D	名詞,一般,*,*,*,*,*
:	名詞,サ変接続,*,*,*,*,*
パラグアイ	名詞,固有名詞,地域,国,*,*,パラグアイ,パラグアイ,パラグアイ
戦	名詞,接尾,一般,*,*,*,戦,セン,セン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
データ	名詞,一般,*,*,*,*,データ,データ,データ
放送	名詞,サ変接続,*,*,*,*,放送,ホウソウ,ホーソー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
吉田	名詞,固有名詞,人名,姓,*,*,吉田,ヨシダ,ヨシダ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
紹介	名詞,サ変接続,*,*,*,*,紹介,ショウカイ,ショーカイ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
草	名詞,一般,*,*,*,*,草,クサ,クサ
生える	動詞,自立,*,*,一段,基本形,生える,ハエル,ハエル
じゃあ	助詞,副助詞,*,*,*,*,じゃあ,ジャア,ジャー
ねぇ	助詞,終助詞,*,*,*,*,ねぇ,ネェ,ネー
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ
。	記号,句点,*,*,*,*,。,。,。
#	名詞,サ変接続,*,*,*,*,*
daihyo	名詞,一般,*,*,*,*,*
#	名詞,サ変接続,*,*,*,*,*
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン
代表	名詞,サ変接続,*,*,*,*,代表,ダイヒョウ,ダイヒョー
https	名詞,一般,*,*,*,*,*
://	名詞,サ変接続,*,*,*,*,*
t	名詞,一般,*,*,*,*,*
.	名詞,サ変接続,*,*,*,*,*
co	名詞,一般,*,*,*,*,*
/	名詞,サ変接続,*,*,*,*,*
lFOsfs	名詞,一般,*,*,*,*,*
8	名詞,数,*,*,*,*,*
hoF	名詞,一般,*,*,*,*,*
キー	名詞,一般,*,*,*,*,キー,キー,キー
ちゃん	名詞,接尾,人名,*,*,*,ちゃん,チャン,チャン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
解説	名詞,サ変接続,*,*,*,*,解説,カイセツ,カイセツ
、	記号,読点,*,*,*,*,、,、,、
歯切れ	名詞,一般,*,*,*,*,歯切れ,ハギレ,ハギレ
悪い	形容詞,自立,*,*,形容詞・アウオ段,基本形,悪い,ワルイ,ワルイ
な	助詞,終助詞,*,*,*,*,な,ナ,ナ
…	記号,一般,*,*,*,*,…,…,…
何	名詞,代名詞,一般,*,*,*,何,ナニ,ナニ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
言い	動詞,自立,*,*,五段・ワ行促音便,連用形,言う,イイ,イイ
たい	助動詞,*,*,*,特殊・タイ,基本形,たい,タイ,タイ
の	助詞,終助詞,*,*,*,*,の,ノ,ノ
？	記号,一般,*,*,*,*,？,？,？
（	記号,括弧開,*,*,*,*,（,（,（
；	記号,一般,*,*,*,*,；,；,；
￣	記号,一般,*,*,*,*,￣,￣,￣
ェ	名詞,一般,*,*,*,*,*
￣）#	名詞,サ変接続,*,*,*,*,*
daihyo	名詞,一般,*,*,*,*,*
…	記号,一般,*,*,*,*,…,…,…
https	名詞,固有名詞,組織,*,*,*,*
://	名詞,サ変接続,*,*,*,*,*
t	名詞,一般,*,*,*,*,*
.	名詞,サ変接続,*,*,*,*,*
co	名詞,一般,*,*,*,*,*
/	名詞,サ変接続,*,*,*,*,*
bNFIt	名詞,一般,*,*,*,*,*
4	名詞,数,*,*,*,*,*
E	名詞,一般,*,*,*,*,*
6	名詞,数,*,*,*,*,*
HA	名詞,一般,*,*,*,*,*
RT	名詞,一般,*,*,*,*,*
@	名詞,サ変接続,*,*,*,*,*
love	名詞,一般,*,*,*,*,*
_	名詞,サ変接続,*,*,*,*,*
allmusic	名詞,一般,*,*,*,*,*
:	名詞,サ変接続,*,*,*,*,*
📣	記号,一般,*,*,*,*,*
au	名詞,固有名詞,組織,*,*,*,*
三太郎	名詞,固有名詞,人名,名,*,*,三太郎,サンタロウ,サンタロー
シリーズ	名詞,一般,*,*,*,*,シリーズ,シリーズ,シリーズ
キャスト	名詞,一般,*,*,*,*,キャスト,キャスト,キャスト
初めて	副詞,一般,*,*,*,*,初めて,ハジメテ,ハジメテ
ご	接頭詞,名詞接続,*,*,*,*,ご,ゴ,ゴ
本人	名詞,一般,*,*,*,*,本人,ホンニン,ホンニン
として	助詞,格助詞,連語,*,*,*,として,トシテ,トシテ
勢揃い	名詞,一般,*,*,*,*,勢揃い,セイゾロイ,セイゾロイ
TVCM	名詞,一般,*,*,*,*,*
「	記号,括弧開,*,*,*,*,「,「,「
全力	名詞,一般,*,*,*,*,全力,ゼンリョク,ゼンリョク
アイーダ	名詞,固有名詞,人名,一般,*,*,アイーダ,アイーダ,アイーダ
」	記号,括弧閉,*,*,*,*,」,」,」
篇	名詞,接尾,助数詞,*,*,*,篇,ヘン,ヘン
#	名詞,サ変接続,*,*,*,*,*
松田	名詞,固有名詞,人名,姓,*,*,松田,マツダ,マツダ
翔太	名詞,固有名詞,人名,名,*,*,翔太,ショウタ,ショータ
#	名詞,サ変接続,*,*,*,*,*
桐谷	名詞,固有名詞,人名,姓,*,*,桐谷,キリタニ,キリタニ
健太	名詞,固有名詞,人名,名,*,*,健太,ケンタ,ケンタ
#	名詞,サ変接続,*,*,*,*,*
濱田	名詞,固有名詞,人名,姓,*,*,濱田,ハマダ,ハマダ
岳	名詞,固有名詞,人名,名,*,*,岳,タケシ,タケシ
#	名詞,サ変接続,*,*,*,*,*
有村	名詞,固有名詞,人名,姓,*,*,有村,アリムラ,アリムラ
架	名詞,サ変接続,*,*,*,*,架,カ,カ
純	接頭詞,名詞接続,*,*,*,*,純,ジュン,ジュン
#	名詞,サ変接続,*,*,*,*,*
菜	名詞,一般,*,*,*,*,菜,サイ,サイ
々	記号,一般,*,*,*,*,々,々,々
緒	名詞,一般,*,*,*,*,緒,イトグチ,イトグチ
#	名詞,サ変接続,*,*,*,*,*
菅田	名詞,固有名詞,人名,姓,*,*,菅田,スゲタ,スゲタ
将	名詞,固有名詞,人名,名,*,*,将,ススム,ススム
暉	名詞,固有名詞,人名,名,*,*,暉,アキラ,アキラ
#	名詞,サ変接続,*,*,*,*,*
川	名詞,接尾,地域,*,*,*,川,ガワ,ガワ
栄	名詞,固有名詞,地域,一般,*,*,栄,サカエ,サカエ
李	名詞,固有名詞,人名,姓,*,*,李,リ,リ
奈	名詞,一般,*,*,*,*,*
#	名詞,サ変接続,*,*,*,*,*
サッカー	名詞,一般,*,*,*,*,サッカー,サッカー,サッカー
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン
代表	名詞,サ変接続,*,*,*,*,代表,ダイヒョウ,ダイヒョー
#	名詞,サ変接続,*,*,*,*,*
daihyo	名詞,一般,*,*,*,*,*
#	名詞,サ変接続,*,*,*,*,*
jfa	名詞,一般,*,*,*,*,*
https	名詞,一般,*,*,*,*,*
://	名詞,サ変接続,*,*,*,*,*
t	名詞,一般,*,*,*,*,*
.	名詞,サ変接続,*,*,*,*,*
co	名詞,一般,*,*,*,*,*
/	名詞,サ変接続,*,*,*,*,*
W	名詞,一般,*,*,*,*,*
8	名詞,数,*,*,*,*,*
…	記号,一般,*,*,*,*,…,…,…
解説	名詞,サ変接続,*,*,*,*,解説,カイセツ,カイセツ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
奴ら	名詞,代名詞,一般,*,*,*,奴ら,ヤツラ,ヤツラ
って	助詞,格助詞,連語,*,*,*,って,ッテ,ッテ
いつも	副詞,一般,*,*,*,*,いつも,イツモ,イツモ
世界	名詞,一般,*,*,*,*,世界,セカイ,セカイ
感じ	動詞,自立,*,*,一段,連用形,感じる,カンジ,カンジ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
ん	名詞,非自立,一般,*,*,*,ん,ン,ン
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
#	名詞,サ変接続,*,*,*,*,*
daihyo	名詞,一般,*,*,*,*,*
都	名詞,接尾,地域,*,*,*,都,ト,ト
並	名詞,一般,*,*,*,*,並,ナミ,ナミ
さん	名詞,接尾,人名,*,*,*,さん,サン,サン
と	助詞,並立助詞,*,*,*,*,と,ト,ト
北澤	名詞,固有名詞,人名,姓,*,*,北澤,キタザワ,キタザワ
さん	名詞,接尾,人名,*,*,*,さん,サン,サン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
解説	名詞,サ変接続,*,*,*,*,解説,カイセツ,カイセツ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
タイプ	名詞,一般,*,*,*,*,タイプ,タイプ,タイプ
じゃ	助詞,副助詞,*,*,*,*,じゃ,ジャ,ジャ
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
#	名詞,サ変接続,*,*,*,*,*
daihyo	名詞,一般,*,*,*,*,*
🇯🇵	記号,一般,*,*,*,*,*
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン
vs	名詞,固有名詞,組織,*,*,*,*
パラグアイ	名詞,固有名詞,地域,国,*,*,パラグアイ,パラグアイ,パラグアイ
🇵🇾	記号,一般,*,*,*,*,*
0	名詞,数,*,*,*,*,*
-	名詞,サ変接続,*,*,*,*,*
1	名詞,数,*,*,*,*,*
前半	名詞,一般,*,*,*,*,前半,ゼンハン,ゼンハン
32	名詞,数,*,*,*,*,*
分	名詞,接尾,助数詞,*,*,*,分,フン,フン
#	名詞,サ変接続,*,*,*,*,*
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン
代表	名詞,サ変接続,*,*,*,*,代表,ダイヒョウ,ダイヒョー
GK	名詞,一般,*,*,*,*,*
12	名詞,数,*,*,*,*,*
東口	名詞,一般,*,*,*,*,東口,ヒガシグチ,ヒガシグチ
順	名詞,接尾,一般,*,*,*,順,ジュン,ジュン
昭	名詞,固有名詞,人名,名,*,*,昭,アキラ,アキラ
DF	名詞,固有名詞,組織,*,*,*,*
2	名詞,数,*,*,*,*,*
植田	名詞,固有名詞,人名,姓,*,*,植田,ウエダ,ウエダ
直通	名詞,サ変接続,*,*,*,*,直通,チョクツウ,チョクツー
3	名詞,数,*,*,*,*,*
昌子	名詞,固有名詞,人名,姓,*,*,昌子,ショウジ,ショージ
源	名詞,固有名詞,人名,名,*,*,源,ハジメ,ハジメ
6	名詞,数,*,*,*,*,*
遠藤	名詞,固有名詞,人名,姓,*,*,遠藤,エンドウ,エンドー
航	名詞,固有名詞,人名,名,*,*,航,ワタル,ワタル
21	名詞,数,*,*,*,*,*
酒井	名詞,固有名詞,人名,姓,*,*,酒井,サカイ,サカイ
高徳	名詞,固有名詞,人名,名,*,*,高徳,タカノリ,タカノリ
MF	名詞,固有名詞,組織,*,*,*,*
7	名詞,数,*,*,*,*,*
柴崎	名詞,固有名詞,人名,姓,*,*,柴崎,シバザキ,シバザキ
岳	名詞,接尾,一般,*,*,*,岳,ダケ,ダケ
10	名詞,数,*,*,*,*,*
香川	名詞,固有名詞,人名,姓,*,*,香川,カガワ,カガワ
真司	名詞,固有名詞,人名,名,*,*,真司,シンジ,シンジ
14	名詞,数,*,*,*,*,*
乾	名詞,固有名詞,人名,姓,*,*,乾,イヌイ,イヌイ
貴士	名詞,固有名詞,人名,名,*,*,貴士,タカシ,タカシ
16	名詞,数,*,*,*,*,*
山口	名詞,固有名詞,地域,一般,*,*,山口,ヤマグチ,ヤマグチ
蛍	名詞,一般,*,*,*,*,蛍,ホタル,ホタル
FW	名詞,一般,*,*,*,*,*
9	名詞,数,*,*,*,*,*
岡崎	名詞,固有名詞,人名,姓,*,*,岡崎,オカザキ,オカザキ
慎	名詞,固有名詞,人名,姓,*,*,慎,マキ,マキ
司	名詞,固有名詞,人名,名,*,*,司,ツカサ,ツカサ
…	記号,一般,*,*,*,*,…,…,…
https	名詞,固有名詞,組織,*,*,*,*
://	名詞,サ変接続,*,*,*,*,*
t	名詞,一般,*,*,*,*,*
.	名詞,サ変接続,*,*,*,*,*
